decision_step	day_zero_based	hour_zero_based	player	farmer	hands	market
0	0	0	Majkel1337	"[""PASS""]"	[]	"[[""BUY_ANIMAL"", ""COW"", 1], [""BUY_PRODUCT"", ""WHEAT"", 5]]"
0	0	0	DSM	"[""PASS""]"	[]	"[[""BUY_ANIMAL"", ""COW"", 1], [""BUY_PRODUCT"", ""WHEAT"", 5]]"
1	0	1	Majkel1337	"[""PICKUP"", ""COW"", 1]"	[]	"[[""SELL"", ""WHEAT"", 1], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_ANIMAL"", ""COW"", 1], [""BUY_ANIMAL"", ""SHEEP"", 3]]"
1	0	1	DSM	"[""PICKUP"", ""COW"", 1]"	[]	"[[""SELL"", ""WHEAT"", 1], [""HIRE""], [""HIRE""], [""HIRE""], [""HIRE""], [""BUY_ANIMAL"", ""COW"", 1], [""BUY_ANIMAL"", ""SHEEP"", 3]]"
2	0	2	Majkel1337	"[""BUILD_PASTURE""]"	"[[""PICKUP"", ""SHEEP"", 1], [""PASS""], [""PICKUP"", ""COW"", 1], [""PICKUP"", ""SHEEP"", 1]]"	"[[""SELL"", ""WHEAT"", 1]]"
2	0	2	DSM	"[""BUILD_PASTURE""]"	"[[""PICKUP"", ""SHEEP"", 1], [""PICKUP"", ""SHEEP"", 1], [""PICKUP"", ""COW"", 1], [""PICKUP"", ""SHEEP"", 1]]"	"[[""SELL"", ""WHEAT"", 1]]"
3	0	3	Majkel1337	"[""PLACE"", ""COW"", 1]"	"[[""NORTH""], [""PASS""], [""NORTH""], [""WEST""]]"	"[[""BUY_SEED"", ""MELON"", 2]]"
3	0	3	DSM	"[""PLACE"", ""COW"", 1]"	"[[""NORTH""], [""NORTH""], [""NORTH""], [""WEST""]]"	"[[""SELL"", ""WHEAT"", 1], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
4	0	4	Majkel1337	"[""PICKUP"", ""WHEAT"", 3]"	"[[""WEST""], [""PICKUP"", ""SHEEP"", 1], [""NORTH""], [""BUILD_PASTURE""]]"	"[[""BUY_PRODUCT"", ""WHEAT"", 1]]"
4	0	4	DSM	"[""PICKUP"", ""WHEAT"", 3]"	"[[""WEST""], [""WEST""], [""NORTH""], [""BUILD_PASTURE""]]"	"[[""SELL"", ""WHEAT"", 1], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
5	0	5	Majkel1337	"[""FEED""]"	"[[""BUILD_PASTURE""], [""NORTH""], [""NORTH""], [""PLACE"", ""SHEEP"", 1]]"	"[[""BUY_SEED"", ""MELON"", 2], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
5	0	5	DSM	"[""FEED""]"	"[[""BUILD_PASTURE""], [""WEST""], [""NORTH""], [""PLACE"", ""SHEEP"", 1]]"	"[[""SELL"", ""WHEAT"", 1], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
6	0	6	Majkel1337	"[""CARE""]"	"[[""PLACE"", ""SHEEP"", 1], [""WEST""], [""WEST""], [""WEST""]]"	"[[""BUY_PRODUCT"", ""WHEAT"", 1]]"
6	0	6	DSM	"[""CARE""]"	"[[""PLACE"", ""SHEEP"", 1], [""BUILD_PASTURE""], [""WEST""], [""CARE""]]"	"[[""BUY_SEED"", ""MELON"", 2], [""BUY_PRODUCT"", ""WHEAT"", 1]]"
7	0	7	Majkel1337	"[""WEST""]"	"[[""CARE""], [""WEST""], [""BUILD_PASTURE""], [""WEST""]]"	[]
7	0	7	DSM	"[""WEST""]"	"[[""CARE""], [""PLACE"", ""SHEEP"", 1], [""BUILD_PASTURE""], [""WEST""]]"	[]
8	0	8	Majkel1337	"[""FEED""]"	"[[""SOUTH""], [""BUILD_PASTURE""], [""PLACE"", ""COW"", 1], [""NORTH""]]"	[]
8	0	8	DSM	"[""FEED""]"	"[[""SOUTH""], [""WEST""], [""PLACE"", ""COW"", 1], [""WEST""]]"	"[[""BUY_SEED"", ""MELON"", 2]]"
9	0	9	Majkel1337	"[""CARE""]"	"[[""PICKUP"", ""WHEAT"", 1], [""PLACE"", ""SHEEP"", 1], [""NORTH""], [""PLANT"", ""MELON""]]"	[]
9	0	9	DSM	"[""WEST""]"	"[[""PICKUP"", ""WHEAT"", 1], [""NORTH""], [""NORTH""], [""NORTH""]]"	[]
10	0	10	Majkel1337	"[""WEST""]"	"[[""NORTH""], [""WEST""], [""PLANT"", ""MELON""], [""WATER""]]"	[]
10	0	10	DSM	"[""FEED""]"	"[[""NORTH""], [""PLANT"", ""MELON""], [""PLANT"", ""MELON""], [""PLANT"", ""MELON""]]"	[]
11	0	11	Majkel1337	"[""FEED""]"	"[[""FEED""], [""PLANT"", ""MELON""], [""WATER""], [""NORTH""]]"	"[[""BUY_SEED"", ""MELON"", 2]]"
11	0	11	DSM	"[""CARE""]"	"[[""FEED""], [""WATER""], [""WATER""], [""WATER""]]"	"[[""BUY_SEED"", ""MELON"", 2]]"
